player1,player2,winner,score1,score2,board,time
team12_A3_MCTS,random_player,random_player,15,26,empty-3x3,0.5
random_player,team12_A3_MCTS,random_player,26,18,empty-3x3,0.5
team12_A3_MCTS,random_player,random_player,21,27,empty-3x3,0.5
random_player,team12_A3_MCTS,random_player,33,17,empty-3x3,0.5
team12_A3_MCTS,random_player,random_player,21,25,empty-3x3,0.5
random_player,team12_A3_MCTS,team12_A3_MCTS,23,24,empty-3x3,0.5
team12_A3_MCTS,random_player,team12_A3_MCTS,27,19,empty-3x3,0.5
random_player,team12_A3_MCTS,team12_A3_MCTS,12,36,empty-3x3,0.5
team12_A3_MCTS,random_player,random_player,19,27,empty-3x3,0.5
random_player,team12_A3_MCTS,team12_A3_MCTS,16,37,empty-3x3,0.5
team12_A3_MCTS,random_player,random_player,21,28,empty-3x3,0.5
random_player,team12_A3_MCTS,random_player,21,18,empty-3x3,0.5
team12_A3_MCTS,random_player,team12_A3_MCTS,29,16,empty-3x3,0.5
random_player,team12_A3_MCTS,team12_A3_MCTS,14,34,empty-3x3,0.5
team12_A3_MCTS,random_player,random_player,18,25,empty-3x3,0.5
random_player,team12_A3_MCTS,random_player,26,25,empty-3x3,0.5
team12_A3_MCTS,random_player,random_player,16,35,empty-3x3,0.5
random_player,team12_A3_MCTS,draw,20,20,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,12,25,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,37,4,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,10,34,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,37,3,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,11,25,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,28,11,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,11,26,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,27,12,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,9,28,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,23,14,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,13,24,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,35,4,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,4,38,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,26,12,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,11,30,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,26,13,empty-3x3,0.5
team12_A3_MCTS,greedy_player,greedy_player,11,30,empty-3x3,0.5
greedy_player,team12_A3_MCTS,greedy_player,32,6,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,6,34,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,34,4,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,13,26,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,34,6,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,6,33,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,32,6,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,10,34,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,32,7,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,10,28,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,29,7,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,5,40,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,34,6,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,5,33,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,30,16,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,5,34,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,31,7,empty-3x3,0.5
team12_A3_MCTS,team12_A2,team12_A2,10,30,empty-3x3,0.5
team12_A2,team12_A3_MCTS,team12_A2,28,9,empty-3x3,0.5
