player 1,player 2,time,board,score ratio,winner
team12_A1,random_player,0.1,"easy-2x2.txt
",0.667,team12_A1
random_player,team12_A1,0.1,"easy-2x2.txt
",0.778,team12_A1
team12_A1,random_player,0.5,"easy-2x2.txt
",0.444,random_player
random_player,team12_A1,0.5,"easy-2x2.txt
",0.556,team12_A1
team12_A1,random_player,1.0,"easy-2x2.txt
",0.944,team12_A1
random_player,team12_A1,1.0,"easy-2x2.txt
",0.556,team12_A1
team12_A1,random_player,5.0,"easy-2x2.txt
",0.556,team12_A1
random_player,team12_A1,5.0,"easy-2x2.txt
",0.667,team12_A1
team12_A1,greedy_player,0.1,"easy-2x2.txt
",0.444,greedy_player
greedy_player,team12_A1,0.1,"easy-2x2.txt
",0.556,team12_A1
team12_A1,greedy_player,0.5,"easy-2x2.txt
",0.444,greedy_player
greedy_player,team12_A1,0.5,"easy-2x2.txt
",0.556,team12_A1
team12_A1,greedy_player,1.0,"easy-2x2.txt
",0.444,greedy_player
greedy_player,team12_A1,1.0,"easy-2x2.txt
",0.556,team12_A1
team12_A1,greedy_player,5.0,"easy-2x2.txt
",0.444,greedy_player
greedy_player,team12_A1,5.0,"easy-2x2.txt
",0.556,team12_A1
team12_A1,random_player,0.1,"random-2x3.txt
",0.677,team12_A1
random_player,team12_A1,0.1,"random-2x3.txt
",0.579,team12_A1
team12_A1,random_player,0.5,"random-2x3.txt
",0.857,team12_A1
random_player,team12_A1,0.5,"random-2x3.txt
",0.852,team12_A1
team12_A1,random_player,1.0,"random-2x3.txt
",0.871,team12_A1
random_player,team12_A1,1.0,"random-2x3.txt
",0.966,team12_A1
team12_A1,random_player,5.0,"random-2x3.txt
",0.815,team12_A1
random_player,team12_A1,5.0,"random-2x3.txt
",0.655,team12_A1
team12_A1,greedy_player,0.1,"random-2x3.txt
",0.8,team12_A1
greedy_player,team12_A1,0.1,"random-2x3.txt
",0.72,team12_A1
team12_A1,greedy_player,0.5,"random-2x3.txt
",0.692,team12_A1
greedy_player,team12_A1,0.5,"random-2x3.txt
",0.714,team12_A1
team12_A1,greedy_player,1.0,"random-2x3.txt
",0.76,team12_A1
greedy_player,team12_A1,1.0,"random-2x3.txt
",0.64,team12_A1
team12_A1,greedy_player,5.0,"random-2x3.txt
",0.68,team12_A1
greedy_player,team12_A1,5.0,"random-2x3.txt
",0.76,team12_A1
team12_A1,random_player,0.1,"easy-3x3.txt
",0.651,team12_A1
random_player,team12_A1,0.1,"easy-3x3.txt
",0.651,team12_A1
team12_A1,random_player,0.5,"easy-3x3.txt
",0.783,team12_A1
random_player,team12_A1,0.5,"easy-3x3.txt
",0.791,team12_A1
team12_A1,random_player,1.0,"easy-3x3.txt
",0.767,team12_A1
random_player,team12_A1,1.0,"easy-3x3.txt
",0.786,team12_A1
team12_A1,random_player,5.0,"easy-3x3.txt
",0.86,team12_A1
random_player,team12_A1,5.0,"easy-3x3.txt
",0.721,team12_A1
team12_A1,greedy_player,0.1,"easy-3x3.txt
",0.789,team12_A1
greedy_player,team12_A1,0.1,"easy-3x3.txt
",0.743,team12_A1
team12_A1,greedy_player,0.5,"easy-3x3.txt
",0.744,team12_A1
greedy_player,team12_A1,0.5,"easy-3x3.txt
",0.806,team12_A1
team12_A1,greedy_player,1.0,"easy-3x3.txt
",0.838,team12_A1
greedy_player,team12_A1,1.0,"easy-3x3.txt
",0.73,team12_A1
team12_A1,greedy_player,5.0,"easy-3x3.txt
",0.385,greedy_player
greedy_player,team12_A1,5.0,"easy-3x3.txt
",0.806,team12_A1
team12_A1,random_player,0.1,"empty-3x3.txt
",0.564,team12_A1
random_player,team12_A1,0.1,"empty-3x3.txt
",0.895,team12_A1
team12_A1,random_player,0.5,"empty-3x3.txt
",0.878,team12_A1
random_player,team12_A1,0.5,"empty-3x3.txt
",0.881,team12_A1
team12_A1,random_player,1.0,"empty-3x3.txt
",0.78,team12_A1
random_player,team12_A1,1.0,"empty-3x3.txt
",0.682,team12_A1
team12_A1,random_player,5.0,"empty-3x3.txt
",0.821,team12_A1
random_player,team12_A1,5.0,"empty-3x3.txt
",0.949,team12_A1
team12_A1,greedy_player,0.1,"empty-3x3.txt
",0.417,greedy_player
greedy_player,team12_A1,0.1,"empty-3x3.txt
",0.821,team12_A1
team12_A1,greedy_player,0.5,"empty-3x3.txt
",0.778,team12_A1
greedy_player,team12_A1,0.5,"empty-3x3.txt
",0.75,team12_A1
team12_A1,greedy_player,1.0,"empty-3x3.txt
",0.821,team12_A1
greedy_player,team12_A1,1.0,"empty-3x3.txt
",0.846,team12_A1
team12_A1,greedy_player,5.0,"empty-3x3.txt
",0.806,team12_A1
greedy_player,team12_A1,5.0,"empty-3x3.txt
",0.795,team12_A1
team12_A1,random_player,0.1,"hard-3x3.txt
",0.857,team12_A1
random_player,team12_A1,0.1,"hard-3x3.txt
",0.683,team12_A1
team12_A1,random_player,0.5,"hard-3x3.txt
",0.889,team12_A1
random_player,team12_A1,0.5,"hard-3x3.txt
",0.703,team12_A1
team12_A1,random_player,1.0,"hard-3x3.txt
",0.683,team12_A1
random_player,team12_A1,1.0,"hard-3x3.txt
",0.725,team12_A1
team12_A1,random_player,5.0,"hard-3x3.txt
",0.881,team12_A1
random_player,team12_A1,5.0,"hard-3x3.txt
",0.714,team12_A1
team12_A1,greedy_player,0.1,"hard-3x3.txt
",0.816,team12_A1
greedy_player,team12_A1,0.1,"hard-3x3.txt
",0.686,team12_A1
team12_A1,greedy_player,0.5,"hard-3x3.txt
",0.541,team12_A1
greedy_player,team12_A1,0.5,"hard-3x3.txt
",0.649,team12_A1
team12_A1,greedy_player,1.0,"hard-3x3.txt
",0.359,greedy_player
greedy_player,team12_A1,1.0,"hard-3x3.txt
",0.838,team12_A1
team12_A1,greedy_player,5.0,"hard-3x3.txt
",0.649,team12_A1
team12_A1,random_player,0.1,"random-4x4.txt
",0.812,team12_A1
random_player,team12_A1,0.1,"random-4x4.txt
",0.926,team12_A1
team12_A1,random_player,0.5,"random-4x4.txt
",0.766,team12_A1
random_player,team12_A1,0.5,"random-4x4.txt
",0.662,team12_A1
team12_A1,random_player,1.0,"random-4x4.txt
",0.892,team12_A1
random_player,team12_A1,1.0,"random-4x4.txt
",0.758,team12_A1
team12_A1,random_player,5.0,"random-4x4.txt
",0.754,team12_A1
random_player,team12_A1,5.0,"random-4x4.txt
",0.939,team12_A1
team12_A1,greedy_player,0.1,"random-4x4.txt
",0.738,team12_A1
greedy_player,team12_A1,0.1,"random-4x4.txt
",0.55,team12_A1
team12_A1,greedy_player,0.5,"random-4x4.txt
",0.672,team12_A1
greedy_player,team12_A1,0.5,"random-4x4.txt
",0.785,team12_A1
team12_A1,greedy_player,1.0,"random-4x4.txt
",0.783,team12_A1
greedy_player,team12_A1,1.0,"random-4x4.txt
",0.797,team12_A1
team12_A1,greedy_player,5.0,"random-4x4.txt
",0.574,team12_A1
greedy_player,team12_A1,5.0,"random-4x4.txt
",0.417,greedy_player
